epoch,acc,loss,val_acc,val_loss
0,0.6461687682556019,0.768128680564268,0.7866563,0.4481499844322471
1,0.8419010669484402,0.3648173011210679,0.8665632,0.31682621887064977
2,0.9241513094199039,0.18910176532576087,0.89992243,0.26804849951650117
3,0.9643064985451019,0.09525082289497797,0.9030256,0.28412418535645384
4,0.9840931134820563,0.04671172688708498,0.9045772,0.34580237686032933
5,0.9951503394762367,0.020215931896190996,0.9038014,0.3720068106640208
6,0.9972841901066926,0.011300413916082254,0.901474,0.42175579736915275
7,0.9982541222114452,0.006905801347110506,0.9069046,0.47894174725256566
8,0.9986420950533462,0.004844177058323825,0.9022498,0.5209834311154575
9,0.9990300678952473,0.0030515474445310846,0.89449185,0.579606788670767
