epoch,acc,loss,val_acc,val_loss
0,0.9049913146924028,0.26518601182169943,0.9384011,0.17814019524106553
1,0.9507437996963841,0.13981035786158041,0.94079214,0.1756362395542696
2,0.9594379851269653,0.1144007662380818,0.9411472,0.1842355307201576
3,0.9631133351285929,0.1028877818332955,0.94089866,0.19073458407735208
4,0.9654363220458857,0.0957843387002321,0.93983334,0.19519915897053036
5,0.9675255306619477,0.08976040662503684,0.93919414,0.2033859818686291
6,0.9688867714032913,0.0860774657157055,0.9385194,0.2080710240209174
7,0.9685523796559612,0.08627766552571477,0.93864965,0.20800945288710362
8,0.9694490230138462,0.08359601459149084,0.93843657,0.2102154708123676
9,0.9705084234168918,0.08089916360240113,0.9369215,0.2177982586740344
