epoch,acc,loss,val_acc,val_loss
0,0.5365664403549568,0.6943461295011318,0.511249,0.6963105431076535
1,0.6147429680616155,0.6545574344441685,0.51900697,0.7264491655366009
2,0.7288069835111542,0.5458608871576973,0.50737005,0.8632985137986804
3,0.8512124151309408,0.35160702649037834,0.49650893,1.0877057202015856
4,0.9445198836081474,0.16335345676645752,0.5089216,1.3879965404099137
5,0.9893307468477207,0.05500352667052042,0.49806052,1.89968018276549
6,0.9943743937924345,0.03332592684872246,0.49650893,1.9822735989898375
7,0.9926285160038797,0.027372915969167227,0.4856478,2.009221961093189
8,0.9947623666343356,0.01850826809634197,0.50814587,2.1525865544451586
9,0.9994180407371483,0.007740365822955778,0.48719937,2.2886907505008764
