epoch,acc,loss,val_acc,val_loss
0,0.8772012890357976,0.3369916551392518,0.92900264,0.2089009139662041
1,0.9421443092738965,0.16879714259503245,0.93383205,0.19673257449966852
2,0.9530164798906272,0.13740586416643735,0.9334296,0.20516447603147997
3,0.9594912510690179,0.11823458452389077,0.9321867,0.2173781770583042
4,0.964116510370583,0.10459451338706433,0.9303047,0.23459710917015994
5,0.9676143072320353,0.09416639199810478,0.9282214,0.254497757717949
6,0.9701385210415268,0.08626006921197647,0.92813855,0.2642358701587674
7,0.9717986429021652,0.0809706847058761,0.9261736,0.2823312912516509
8,0.9731983534905467,0.07667431096208807,0.92567647,0.2911031770817933
9,0.9747371473720655,0.07236480301423799,0.9244218,0.3023525818242982
