epoch,acc,loss,val_acc,val_loss
0,0.8740349247026725,0.509954728972094,0.9169527,0.25215148968677514
1,0.9448046471575222,0.16375655012512771,0.9291802,0.22571840621748843
2,0.9505425728041855,0.14957888903369565,0.92584217,0.2534355757597204
3,0.9544605787640525,0.13643934614626266,0.9285055,0.2621583041615119
4,0.9571090797716667,0.1305196632193547,0.92467034,0.27705155189723496
5,0.959597782953123,0.12359368240747524,0.92391276,0.33647043079999256
6,0.9549103800526729,0.154095690453218,0.9158282,0.36546989742636765
7,0.9612934154417966,0.12285323953761304,0.92030257,0.4034039575333809
8,0.9646994765141584,0.10877188533847941,0.9249071,0.41854902766723445
9,0.9649687654434241,0.11039698535153876,0.9152719,0.4195016236392271
