epoch,acc,loss,val_acc,val_loss
0,0.877204248254977,0.33786808404595625,0.9284936,0.21248045243316324
1,0.9398006078235832,0.17789748177635353,0.9317843,0.2035585544356619
2,0.9483024440189746,0.1528061336102938,0.93232876,0.20589433150750772
3,0.9523210634249409,0.13848710450068705,0.93115693,0.21243010151214395
4,0.956236110165805,0.1279219326123404,0.93000877,0.2211420401087347
5,0.9591953291687257,0.11922840819473422,0.9289316,0.23150634948498558
6,0.9615271937430273,0.1121120345978531,0.92757034,0.24381857266472032
7,0.9631873156036659,0.10632302767448842,0.92493075,0.25891697291343974
8,0.9651463185835994,0.10116803856159483,0.92310786,0.27106471191637077
9,0.9666614387130948,0.09620845519517263,0.9207405,0.285056010963525
