epoch,acc,loss,val_acc,val_loss
0,0.6417070805506147,1.530571537391869,0.82854927,0.5201378238580318
1,0.8731328806983512,0.31896529396694195,0.8013964,0.5818914778940987
2,0.9487875848690591,0.1405092540947733,0.9045772,0.38559049187564776
3,0.988360814742968,0.035051302442602204,0.91543835,0.2859404810275839
4,0.9990300678952473,0.004303708987736896,0.91155934,0.2956736130340789
5,0.9998060135790494,0.0019060349487555603,0.9169899,0.29489103928381755
6,1.0,0.0007647485667858842,0.9162141,0.2956325095970562
7,1.0,0.0005361595856568145,0.9169899,0.2991978813272007
8,1.0,0.0004322888201381966,0.91776574,0.30241214405944683
9,1.0,0.00036337340951841425,0.91776574,0.30521504836456087
