epoch,acc,loss,val_acc,val_loss
0,0.8764496474092321,0.36069269060822046,0.91610044,0.24809653255366648
1,0.9431386068588778,0.16959750342407748,0.9262446,0.21940152409350944
2,0.9520606521526839,0.14202101300956177,0.918456,0.2773957342471717
3,0.9564195817439861,0.12973129982653067,0.9219124,0.31090659051706715
4,0.9588934888304279,0.12323093937529965,0.9190123,0.332532161773514
5,0.9636430353301156,0.10632179853759309,0.9232026,0.3609223092940858
6,0.9678540039712719,0.09521856405968206,0.91973436,0.3952970539529295
7,0.96770012458312,0.09898960163832696,0.925132,0.39629224296015875
8,0.9702213791736085,0.09039206900724447,0.9237234,0.48486527276562347
9,0.973014881912542,0.08161374768878295,0.9260316,0.5034768871335278
