epoch,acc,loss,val_acc,val_loss
0,0.5509214355052963,0.6901779754663647,0.5290923,0.6898521918303473
1,0.6029097964414454,0.6660072806041063,0.5314197,0.6944426398946852
2,0.6948593598794983,0.5867607139824202,0.54150504,0.7637931396093731
3,0.8089233753637245,0.4159949298163968,0.5298681,1.0047381706622518
4,0.9206595538312318,0.214226338223967,0.53607446,1.3308775356520601
5,0.9730358874878758,0.08769093487361151,0.50659424,1.7043367516078904
6,0.9825412221144519,0.05755398294379868,0.54228085,1.8085810570313636
7,0.9877788554801163,0.04461698719416858,0.52521336,1.7890606333434442
8,0.9943743937924345,0.023730682517538727,0.5321955,1.9953616581007527
9,0.9998060135790494,0.0062054025212747235,0.53917766,2.169317138944142
