epoch,acc,loss,val_acc,val_loss
0,0.6331716780866037,0.693367778329914,0.75329715,0.5090415882823817
1,0.8217264791695847,0.41187145283335513,0.8223429,0.39557209747349964
2,0.9024248302618817,0.2588861422976398,0.8471683,0.3426028522435226
3,0.9532492725509214,0.14775280031681812,0.8813033,0.29135758641896276
4,0.9819592628516004,0.08035815319662443,0.875097,0.30669516644059824
5,0.9932104752667313,0.045877926378979715,0.89759505,0.2803736147351557
6,0.9926285160038797,0.03545307618304798,0.875097,0.4238514075268138
7,0.9840931134820563,0.04689321379140236,0.89449185,0.3142960942744099
8,0.9968962172647915,0.013962436531657746,0.901474,0.29621679603452367
9,0.9996120271580989,0.003615270646040126,0.89992243,0.2983407915054688
